课程名称,课时需求
《资本论》与经济学思维,1
《资本论》选读,2
中国经济分析,1
中国经济史（通识）,1
中国经济思想史,2
中国经济思想史（通识）,1
中级宏观经济学,11
中级宏观经济学（中外）,1
中级微观经济学,15
中级微观经济学（中外）,2
健康经济学,1
决策的偏误与智慧,1
博弈与社会,1
博弈论与信息经济学,5
发展经济学（通识）,1
外国经济史,1
大数据经济学,3
宏观经济学,1
应用时间序列分析,1
应用计量学,1
当代主要社会问题的经济分析,1
微观经济学,14
微观计量经济学,1
政治经济学,3
政治经济学II,3
气候变化经济学,1
现代政治经济学热点问题,2
经济学专题研究,1
经济学原理,2
经济学原理、思想与方法,1
经济学学科前沿专题,1
经济数据与因果推断,1
行为经济学与科学实验,1
计量经济学,7
计量经济学（中外）,1
金融衍生品理论与应用,1
面向机器学习的计量经济学,1
高等代数II,2
高级微观经济学,2
