课程序号,课程代码,课程名称,课程类别,学历层次,学生类别,教学班名称,排课信息,教师工号,授课教师,教师所属部门,星期几,第几节,多少周,地点,授课语言,人数上限,实际人数,起始周,结束周,周数,周课时,总课时,学分,备注
0007,100419,经济学原理,必修课,大学本科,本科生 ,24经济学1班,,,,,,,,,,26,0,1,16,16,3,48,3,
0014,100419,经济学原理,必修课,大学本科,本科生 ,24经济学2班,,,,,,,,,,25,0,1,16,16,3,48,3,
0021,100419,经济学原理,必修课,大学本科,本科生 ,24经济学3班,,,,,,,,,,28,0,1,16,16,3,48,3,
0035,100419,经济学原理,必修课,大学本科,本科生 ,24数量经济,,,,,,,,,,40,0,1,16,16,3,48,3,
0009,102862,经济学原理、思想与方法,必修课,大学本科,本科生 ,24经济学1班,,,,,,,,,,26,0,1,16,16,2,24,1.5,
0016,102862,经济学原理、思想与方法,必修课,大学本科,本科生 ,24经济学2班,,,,,,,,,,25,0,1,16,16,2,24,1.5,
0023,102862,经济学原理、思想与方法,必修课,大学本科,本科生 ,24经济学3班,,,,,,,,,,28,0,1,16,16,2,24,1.5,
0030,102862,经济学原理、思想与方法,必修课,大学本科,本科生 ,24经济数学双学位班,,,,,,,,,,39,0,1,16,16,2,24,1.5,
0037,102862,经济学原理、思想与方法,必修课,大学本科,本科生 ,24数量经济,,,,,,,,,,40,0,1,16,16,2,24,1.5,
0045,102862,经济学原理、思想与方法,选修课,大学本科,本科生 ,24经济学拔尖班,,,,,,,,,,0,0,1,16,16,2,24,1.5,
0502,100075,经济学专题研究,选修课,大学本科,本科生 ,22数量经济（中外）,,,,,,,,,,12,0,1,16,16,2,32,2,
0514,100075,经济学专题研究,选修课,大学本科,本科生 ,22经济学拔尖班,,,,,,,,,,0,0,1,16,16,2,32,2,
0534,100075,经济学专题研究,选修课,大学本科,本科生 ,22经济学基地班,,,,,,,,,,1,0,1,16,16,2,32,2,
0544,100075,经济学专题研究,选修课,大学本科,本科生 ,22劳动经济,,,,,,,,,,2,0,1,16,16,2,32,2,
0563,100075,经济学专题研究,选修课,大学本科,本科生 ,22世界经济,,,,,,,,,,15,0,1,16,16,2,32,2,
0503,100019,外国经济史,选修课,大学本科,本科生 ,22数量经济（中外）,,,,,,,,,,15,0,1,16,16,2,32,2,
0515,100019,外国经济史,选修课,大学本科,本科生 ,22经济学拔尖班,,,,,,,,,,0,0,1,16,16,2,32,2,
0535,100019,外国经济史,选修课,大学本科,本科生 ,22经济学基地班,,,,,,,,,,9,0,1,16,16,2,32,2,
0545,100019,外国经济史,选修课,大学本科,本科生 ,22劳动经济,,,,,,,,,,13,0,1,16,16,2,32,2,
0564,100019,外国经济史,选修课,大学本科,本科生 ,22世界经济,,,,,,,,,,3,0,1,16,16,2,32,2,
1117,100019,外国经济史,选修课,大学本科,本科生 ,22数学经济双学位班,,,,,,,,,,13,0,1,16,16,2,32,2,
1323,100019,外国经济史,选修课,大学本科,本科生 ,22经济数学双学位班,,,,,,,,,,1,0,1,16,16,2,32,2,
0506,100752,微观计量经济学,选修课,大学本科,本科生 ,22数量经济（中外）,,,,,,,,,,1,0,1,16,16,2,32,2,
0518,100752,微观计量经济学,选修课,大学本科,本科生 ,22经济学拔尖班,,,,,,,,,,1,0,1,16,16,2,32,2,
0529,100752,微观计量经济学,选修课,大学本科,本科生 ,22经济学基地班,,,,,,,,,,0,0,1,16,16,2,32,2,
0549,100752,微观计量经济学,选修课,大学本科,本科生 ,22劳动经济,,,,,,,,,,0,0,1,16,16,2,32,2,
0558,100752,微观计量经济学,选修课,大学本科,本科生 ,22世界经济,,,,,,,,,,1,0,1,16,16,2,32,2,
1121,100752,微观计量经济学,选修课,大学本科,本科生 ,22数学经济双学位班,,,,,,,,,,18,0,1,16,16,2,32,2,
1321,100752,微观计量经济学,选修课,大学本科,本科生 ,22经济数学双学位班,,,,,,,,,,0,0,1,16,16,2,32,2,
0049,103430,微观经济学,通识模块四,大学本科,本科生 ,24财经法治卓越班,,,,,,,,,,47,0,1,16,16,2,32,2,
0060,103430,微观经济学,通识模块四,大学本科,本科生 ,24涉外法治实验班,,,,,,,,,,41,0,1,16,16,2,32,2,
0142,103430,微观经济学,通识模块四,大学本科,本科生 ,24经济新闻,,,,,,,,,,39,0,1,16,16,2,32,2,
0150,103430,微观经济学,通识模块四,大学本科,本科生 ,24社会学,,,,,,,,,,27,0,1,16,16,2,32,2,
0321,103430,微观经济学,必修课,大学本科,本科生 ,24统计1班,,,,,,,,,,30,0,1,16,16,2,32,2,
0325,103430,微观经济学,必修课,大学本科,本科生 ,24统计2班,,,,,,,,,,30,0,1,16,16,2,32,2,
0329,103430,微观经济学,必修课,大学本科,本科生 ,24统计3班,,,,,,,,,,28,0,1,16,16,2,32,2,
0334,103430,微观经济学,选修课,大学本科,本科生 ,24统计实验班,,,,,,,,,,26,0,1,16,16,2,32,2,
0336,103430,微观经济学,通识模块四,大学本科,本科生 ,24商务英语1班,,,,,,,,,,14,0,1,16,16,2,32,2,
