序号,课程号,课序号,课程名,课程属性,上课教师,上课周次,上课星期,上课节次,校区,上课地点,选课人数,考试方式,考试日期,考试时间,考试地点,监考,监考,监考
43,102319020,2,国际商法,选修,钱霞,1-17周,5,第3-4节,江安,江安一教C座C103,38,开卷,6月20日,19:00-21:00,,,,
44,102437020,1,经济理论中的数学优化,必修,骆桢,1-17周,1,第3-4节,望江,望江二教103,43,闭卷,6月16日,10:30-12:30,,,,
45,102564020,1,新制度经济学（全英文）,必修,贺立龙,1-17周,1,第3-4节,望江,望江二教101,83,闭卷,6月16日,10:30-12:30,,,,
46,102540030,1,国民经济发展与管理前沿研究,必修,祝梓翔,1-8周,1,第5-7节,望江,望江三教413,67,闭卷,6月16日,14:00-16:00,,,,
47,102556030,1,跨国公司经营与管理,必修,张蕴中,1-17周,1,第5-7节,望江,望江二教104,46,闭卷,6月16日,14:00-16:00,,,,
48,102556030,2,跨国公司经营与管理,必修,张蕴中,1-17周,2,第5-7节,望江,望江二教103,16,闭卷,6月16日,14:00-16:00,,,,
49,102636020,1,中级政治经济学,必修,骆桢,1-17周,1,第8-9节,望江,望江二教206,87,闭卷,6月16日,16:30-18:30,,,,
50,102525030,1,财政制度比较研究,必修,段海英,1-17周,2,第1-3节,望江,望江三教407,33,闭卷,6月17日,08:00-10:00,,,,
51,102525030,2,财政制度比较研究,必修,段海英,1-17周,2,第5-7节,望江,望江三教112,23,闭卷,6月17日,08:00-10:00,,,,
52,102104020,1,经贸英语翻译,选修,谢关平,1-17周,2,第3-4节,望江,望江三教410,50,闭卷,6月17日,10:30-12:00,,,,
53,102328020,1,环境与资源经济学,必修,曹翔,1-17周,2,第3-4节,望江,望江二教101,90,开卷,6月17日,10:30-12:00,,,,
54,102962020,1,数字经济学导论,选修,刘勇,1-17周,2,第3-4节,望江,望江二教104,23,开卷,6月17日,10:30-12:00,,,,
55,102557030,1,商业银行业务与经营（全英文）,必修,向宇,1-17周,2,第5-7节,望江,望江三教413,73,闭卷,6月17日,14:30-12:00,,,,
56,102621030,1,金融知识普及：大学生必备的金融学常识,任选,夏仕龙,2-17周,2,第5-7节,望江,望江二教311,13,开卷,6月17日,14:00-16:00,,,,
57,102332020,1,投资银行理论与实务,必修,贾立,1-17周,4,第3-4节,望江,望江基教楼A座A305,40,闭卷,6月17日,19:00-21:00,,,,
58,102332020,2,投资银行理论与实务,必修,贾立,1-17周,4,第5-6节,望江,望江基教楼A座A305,29,闭卷,6月17日,19:00-21:00,,,,
59,102371030,1,国际贸易实务（全英文）,选修,贾文,1-17周,3,第10-12节,望江,望江二教103,23,开卷,6月18日,19:30-21:30,,,,
60,102531030,1,国际贸易实务,必修,孙瑶,1-17周,2,第5-7节,望江,望江三教310,26,闭卷,6月19日,14:00-16:00,,,,
61,102531030,3,国际贸易实务,必修,蒋国庆,1-17周,4,第1-3节,望江,望江三教407,6,闭卷,6月19日,14:00-16:00,,,,
62,102531030,2,国际贸易实务,必修,蒋国庆,1-17周,4,第5-7节,望江,望江三教406,18,闭卷,6月19日,14:00-16:00,,,,
63,102013030,2,产业经济学,选修,李晓波,1-17周,4,第1-3节,望江,望江二教104,15,闭卷,6月19日,14:00-16:00,,,,
64,102013030,3,产业经济学,选修,李晓波,1-17周,4,第5-7节,望江,望江二教104,12,闭卷,6月19日,14:00-16:00,,,,
65,102134020,1,投资项目评估,选修,韩冰,1-17周,5,第3-4节,望江,望江三教313,30,闭卷,6月19日,16:30-18:30,,,,
66,102134020,2,投资项目评估,必修,韩冰,1-17周,4,第8-9节,望江,望江基教楼A座A308,55,闭卷,6月19日,16:30-18:30,,,,
67,102343020,1,职业形象与职业礼仪,任选,吴永红,2-17周,4,第8-9节,望江,望江二教311,13,开卷,6月19日,16:30-18:30,,,,
68,102115020,1,商务谈判,必修,严荔,1-17周,4,第8-9节,望江,望江基教楼A座A604,52,开卷,6月19日,17:00-19:00,,,,
69,102131020,1,税务代理,选修,王强,1-17周,5,第3-4节,望江,望江三教206,14,开卷,6月20日,10:00–12:00,,,,
70,102802020,1,创业金融学,选修,顾婧,1-17周,5,第3-4节,望江,望江三教215,24,开卷,6月20日,10:30-12:30,,,,
71,102001030,2,《资本论》选读,必修,唐永,1-17周,4,第1-3节,望江,望江三教313,50,闭卷,6月20日,14:00-16:00,,,,
72,102068030,3,会计学,必修,刘用明,1-17周,2,第5-7节,望江,望江基教楼A座A316,39,闭卷,6月20日,19:00-21:00,,,,
73,102523030,2,财政管理,必修,王强,1-17周,3,第1-3节,望江,望江二教311,16,闭卷,6月20日,19:00-21:00,,,,
74,102523030,1,财政管理,必修,王强,1-17周,3,第5-7节,望江,望江三教413,30,闭卷,6月20日,19:00-21:00,,,,
